appid,release_year,Priece,user_score,meta_score
12310,2007,$1.99,75%,66%
12320,2006,$2.49,84%,74%
12330,2006,$0.99,82%,71%
12340,2008,$0.99,61%,69%
12360,2008,$3.99,86%,79%
12370,2006,$3.99,,
12380,2006,$3.99,,
12390,2008,$2.99,51%,
12420,2009,$1.49,20%,43%
12430,2009,$0.99,32%,
12440,2007,$0.99,65%,
12450,2009,$1.99,,
12460,2008,$0.99,60%,
12470,2004,$0.99,70%,75%
12480,2009,$1.99,57%,
12500,2007,$9.99,87%,84%
12510,2007,$6.69,18%,
12520,2007,$6.69,71%,
12530,2007,$6.49,81%,
12540,2007,$2.49,,
12560,2007,$6.69,,
12570,2008,$2.49,,
12580,2008,$2.49,,
12580,2008,$2.49,,
12590,2008,$6.69,52%,
12600,2005,$6.69,,
12640,2009,$2.49,79%,75%
12650,2008,$4.68,,
12660,2007,$4.68,,
12670,2008,$6.69,,
12690,2009,$6.49,82%,
12710,2008,$2.49,93%,
12770,2008,$2.49,70%,59%
12790,2009,$2.49,45%,41%
12810,2009,$2.49,88%,79%
12830,2009,$2.49,67%,76%
12900,2008,$2.49,95%,85%
13000,2008,$4.99,89%,57%
13140,2009,,69%,70%
13200,2003,$14.99,69%,75%
13210,2007,$19.99,89%,83%
13230,2004,$14.99,97%,93%
13240,2000,$9.99,97%,92%
13250,1998,$9.99,89%,
13260,,,,
13500,2004,$1.99,85%,83%
13520,2004,$2.99,82%,89%
13530,2005,$1.99,79%,85%
13540,2006,$2.49,79%,85%
13560,2003,$2.49,87%,91%
13570,2009,$2.49,93%,92%
13580,2006,$2.49,39%,80%
13600,2003,$1.99,86%,89%
13620,2002,$1.49,94%,82%
13630,2002,$1.49,88%,82%
15000,2008,$2.49,58%,59%
15080,2008,$2.49,83%,58%
15100,2008,$5.99,83%,79%
15120,2008,$2.49,84%,78%
15130,2003,$2.99,87%,83%
15160,2007,$2.49,71%,
15170,2006,$2.49,88%,77%
15190,2005,$3.99,87%,87%
15200,2007,$2.49,68%,79%
15210,2005,$2.49,87%,90%
15240,2008,$2.49,79%,
15270,2005,$1.99,83%,66%
15300,2001,$2.99,92%,80%
15320,2006,$2.49,88%,86%
15350,2007,$2.49,,
15370,2007,$2.49,93%,70%
15390,2008,$3.99,90%,79%
15400,2008,$7.99,78%,
15500,2008,$1.99,76%,69%
15520,2009,$2.99,83%,81%
15540,1985,,28%,
15560,2011,$1.99,74%,
15620,2009,$4.99,89%,85%
15700,1997,$1.49,85%,
15710,1998,$1.49,94%,
15740,2010,$2.49,77%,
15750,2010,$4.99,86%,
15800,2008,$9.99,,
15900,2008,$3.39,77%,
15910,2008,$3.39,,
15920,2008,$3.39,,
15930,2008,$3.39,88%,
15960,2008,$3.39,67%,
15970,2008,$3.39,67%,
16000,2008,$3.39,42%,
16020,2008,$3.39,57%,
16030,2008,$3.39,72%,
16040,2008,$3.39,77%,
16060,2009,$3.39,42%,
16100,2008,$9.99,81%,
16110,2008,$9.99,,
16120,2008,$9.99,93%,
16130,2008,$9.99,83%,
16180,2008,$9.99,91%,
16200,2009,$9.99,,
16300,2008,$9.99,93%,77%
16450,2009,$3.74,86%,79%
16600,2008,$9.99,84%,
16710,2008,$0.59,73%,65%
16720,2009,$0.69,61%,61%
16730,2008,$0.69,54%,50%
16810,2008,$5.99,85%,83%
16900,2018,$17.99,90%,
17080,2012,,80%,86%
17100,2008,$3.19,83%,75%
17120,2008,$1.24,82%,
17140,2008,$3.49,77%,65%
17180,2008,$3.49,,
