appid,release_year,Priece,user_score,meta_score
973410,2019,$4.99,,
973440,2019,$19.99,,
973450,2021,$14.99,72%,
973560,2018,$5.99,,
973580,2019,$29.99,73%,71%
973600,2018,$94.99,78%,
973640,2019,$9.9,,
973690,2019,$7.99,,
973700,2019,$29.99,60%,
973720,2019,$7.99,,
973760,2018,$19.99,88%,85%
973810,2021,$11.99,88%,76%
973850,2019,$4.99,90%,
973860,,$0.79,,
974010,2018,,,
974040,2018,$14.99,,
974070,2018,$2.99,,
974090,2008,,93%,
974090,2008,,93%,
974110,2018,$2.39,,
974160,2019,$5.99,,
974180,,$7.99,,
974200,2018,,85%,
974220,2019,$0.99,,
974240,2018,$0.99,,
974250,2018,,,
974310,2020,$3.99,,
974320,2018,$0.99,,
974370,2018,$2.99,,
974430,2019,$11.99,,
974450,2019,$0.59,,
974470,2019,,,
974520,2009,,,
974530,2018,$9.99,,
974600,2018,$1.99,,
974620,2019,$14.99,,
974670,2018,$11.99,,
974830,2018,,,
974840,2018,,,
974860,2018,$4.99,,
974870,2018,$1.79,,
974910,2020,$24.99,94%,
974920,2019,$9.99,,
974950,2018,,92%,
975000,2018,$19.99,,
975020,2018,$14.99,,
975030,2018,,37%,
975050,2019,,71%,
975100,2019,$9.99,,
975110,2018,$1.99,,
975120,2018,$10.99,65%,
975150,2020,$6.99,74%,
975200,2018,$24.99,,
975220,2018,$4.99,,
975230,2018,$9.99,,
975240,2018,$0.99,79%,
975270,,$9.99,91%,
975290,2019,,,
975290,2019,,,
975350,2019,,,
975410,2018,$4.99,,
975430,2019,$19.99,,
975430,2019,$19.99,,
975470,2019,$24.99,74%,51%
975510,2020,$9.99,74%,76%
975520,2019,$4.99,,
975600,2018,,,
975620,2020,$4.99,81%,
975660,2019,$0.99,,
975670,2019,$4.99,,
975680,2019,$19.99,49%,
975690,2018,$1.99,,
975700,2004,,85%,
975700,2004,,85%,
975770,2018,$0.99,,
975800,2018,$0.99,,
975860,2018,$3.99,,
975910,2018,$1.19,,
975950,2020,$19.99,76%,70%
975950,2020,$19.99,76%,70%
975980,2018,$9.99,,
976010,2019,$1.99,93%,
976020,2019,,76%,
976030,2020,$12.99,73%,
976060,2019,$0.99,,
976070,2018,$0.99,,
976090,2018,$2.99,,
976120,2018,$0.49,78%,
976160,2018,$0.49,,
976240,2018,$1.99,,
976260,2020,$14.99,,
976310,2019,$49.99,86%,82%
976320,2019,$0.99,,
976330,2009,$15.99,,
976340,2018,$4.99,,
976360,2019,$1.99,,
976390,2019,$9.99,95%,
976410,2019,,64%,
976420,2018,$4.99,94%,
976500,2020,$19.99,85%,
976570,2020,$2.99,42%,
976590,2021,$24.49,68%,73%
976680,,$5.99,,
976700,,$9.99,87%,
976720,2018,$0.55,,
976730,2019,$15.99,92%,
976780,2018,$0.99,79%,
976800,2019,,60%,
976830,2018,$0.99,,
976840,2018,$5.99,,
976850,2018,$0.99,,
976870,2018,$7.99,,
976890,2022,$9.99,76%,
976900,2021,$6.74,82%,62%
976920,2019,$18.99,83%,
976930,,$16.99,,
976940,2018,,97%,
976950,2019,,,
976960,2018,$5.99,,
976970,2019,$4.99,,
976980,2018,,,
977050,2019,,76%,
977080,2018,$2.99,,
977100,2019,$3.99,,
977110,,$0.99,,
977160,2019,,54%,
977180,2018,,,
977210,2018,$0.99,,
977230,2019,$3.99,94%,
977270,2021,$7.99,,
977290,2018,$0.49,,
977300,2019,$9.99,84%,
977310,2019,$1.99,,
977340,2019,$0.5,58%,
977380,2018,$1.99,,
977390,2019,$14.99,83%,
977390,2019,$14.99,83%,
977400,2021,,90%,
977410,2020,$6.99,,
977430,2018,,,
977450,2018,,,
977460,2019,$34.99,88%,
977490,2019,,,
977500,,$12.99,67%,
977570,2018,$3.99,59%,
977590,2018,$0.99,,
977630,2021,$14.99,53%,52%
977640,2018,$1.99,66%,
977650,,$24.99,63%,
977670,2018,$4.99,,
977690,2019,$2.49,79%,
977780,2019,$39.99,,
977790,2019,$17.99,,
977810,2018,$1.24,90%,
977830,2020,,,
977840,2018,$9.99,,
977880,2021,$24.99,85%,82%
977900,2018,$0.99,,
977900,2018,$0.99,,
977950,2019,$5.99,93%,
977980,2018,$4.99,,
978010,2018,$9.99,,
978020,2018,,,
978040,2018,$3.99,,
978110,2018,$7.99,,
978180,2020,,,
978190,2019,$4.99,72%,
978200,2018,$0.49,,
978250,2018,$4.99,91%,
978270,2018,,93%,
978290,2018,,48%,
978300,2021,$13.99,62%,
978340,2018,$0.99,,
978380,2018,$2.99,,
978440,2018,$12.99,,
978450,2018,$1.03,,
978460,2021,$9.99,94%,
978470,2018,$1.99,79%,
978490,2018,$0.99,,
978520,,$19.99,82%,
978580,2019,$0.99,,
978610,2019,$0.99,,
978620,2019,,43%,
978630,2021,$10.99,96%,
978640,2018,$2.99,,
978650,,$4.99,,
978660,2019,$5.99,,
978670,2018,,67%,
978680,2018,,85%,
978690,2018,,92%,
978700,2022,$9.99,35%,
978710,2018,$5.99,,
978780,2020,$23.99,94%,
978800,2018,,91%,
978840,2019,,65%,
978870,2019,$12.49,94%,
978920,2018,,,
978960,2019,$34.99,73%,
978970,2019,,,
978980,2019,$0.54,,
979000,2019,$19.99,,
979010,2018,$2.99,53%,
979060,2019,,87%,
979070,2021,$5.99,80%,
979080,2018,,81%,
979090,2018,$0.79,94%,
979100,2018,,,
979110,2020,$22.99,87%,
979120,2019,$19.99,89%,80%
979160,2019,$7.99,,
979170,2018,,,
979220,2018,$1.99,,
979260,2018,,94%,
979290,2018,$0.59,,
979300,2018,$14.99,,
979310,2021,$15.99,84%,67%
979350,2019,$2.99,,
979390,2018,$1.99,,
979400,2019,$29.99,79%,
979450,2018,$0.55,,
979500,2018,$7.99,,
979530,2019,$0.99,,
979550,2018,$0.99,,
979560,2019,$3.99,62%,
979590,2018,,,
979620,2018,$9.99,,
979640,2020,$16.19,83%,
979680,2018,,,
979690,2021,$11.99,76%,
979710,2020,$9.74,94%,
979720,2018,$39.99,,
979760,2018,,,
979790,2018,$1.99,,
979800,2020,,76%,
979810,2019,$9.99,45%,
979880,2019,$14.99,,
979890,2018,$9.99,,
979920,2019,,73%,
979970,2018,$0.99,74%,
979990,2018,,,
980160,2019,,,
980170,2022,$4.99,,
980210,2022,$7.07,74%,
980300,2019,$1.99,96%,83%
980320,2019,$5.99,,
980360,2020,$9.99,,
980380,2018,$2.99,,
980440,2018,$3.99,,
980480,2019,$9.99,96%,
980490,2018,$4.24,,
980520,2018,$1.99,,
980600,2018,$1.99,,
980610,2020,,92%,
980630,2019,$11.99,,
980640,,$12.49,70%,
980730,1998,,67%,
980740,2018,,,
980750,2018,$1.99,,
980760,2018,$4.99,,
980770,2020,$34.99,,
980800,2018,$4.99,,
980830,2019,$49.99,84%,
980850,2019,,58%,
980940,2017,$9.99,78%,
980950,2019,,,
981020,2019,$13.99,98%,
981040,2019,$0.99,,
981050,2019,$0.99,,
981080,2020,$2.99,,
981120,2018,,,
981130,2018,$9.99,,
981140,2019,$0.99,,
981160,2018,$0.99,,
981250,2019,,,
981260,,$0.99,86%,
981270,2019,$4.99,,
981290,2019,,54%,
981310,2017,,50%,
981320,2018,,,
981420,2019,$2.99,97%,
981430,,$14.99,92%,81%
981440,2019,$4.99,,
981450,2019,$14.99,,
981500,2019,$4.99,,
981540,2019,$4.99,,
981550,2018,$0.99,81%,
981590,2019,,87%,
981620,2019,$0.55,,
981630,2020,$12.99,,
981660,2021,$8.99,,
981670,2019,$7.99,,
981690,2020,$0.99,,
981710,2019,$0.99,,
981750,2019,$59.99,81%,
981770,2019,$4.99,88%,
981880,,$8.99,89%,
981890,2021,$13.99,45%,
981900,2018,,,
981910,2019,$5.99,,
981980,2019,$1.49,,
981990,2018,$0.99,,
982010,2018,,,
982020,2018,$1.99,,
982050,2018,$4.99,,
982060,2019,$1.99,67%,
982090,2020,$1.49,,
982100,2018,$0.49,,
982120,2018,$12.99,,
982150,2019,,92%,
982220,2019,$0.89,91%,
982240,2019,$0.99,,
982250,2021,,,
982270,2019,$4.99,93%,
982290,2022,$24.99,87%,
982320,2019,$9.99,,
982350,2021,$7.19,96%,
982380,2018,,,
982390,2019,$0.99,,
982400,2019,$10.99,90%,
982400,2019,$10.99,90%,
982450,2019,$2.19,,
982480,2018,$4.99,,
982510,2019,,50%,
982520,2018,$44.95,69%,
982580,2018,$0.99,83%,
982670,2020,$14.99,,
982690,2018,$2.99,,
982720,2021,$14.99,67%,
982750,2018,$0.79,,
982760,2019,$19.99,,
982770,2018,,,
982800,2019,$9.99,,
982830,2018,,,
982840,2020,,59%,
982850,2019,$5,,
982990,2018,$1.99,,
983040,2018,$4.99,,
983050,2019,$3.99,,
983070,2019,,,
983100,2019,$2.99,,
983120,2018,,,
983140,2020,$14.99,,
983150,2019,$24.99,96%,
983160,2020,$9.99,,
983240,2019,$0.99,,
983280,2018,$0.51,,
983290,2019,$9.99,,
983340,2018,$1.99,,
983350,2019,$14.99,80%,
983450,2020,$3.19,,
983520,2018,$0.99,,
983590,2018,$3.99,,
983610,2018,$0.99,,
983640,2019,$4.99,,
983650,2018,$3.99,,
983670,2020,$9.99,57%,
983760,2019,$14.99,,
983780,,$3.99,,
983790,2019,$1.99,,
983820,2018,$3.99,28%,
983840,2018,$4.99,,
983880,2019,,,
983890,2019,,,
983900,2019,$0.99,,
983970,2020,$24.99,92%,73%
983980,2019,$4.99,,
983990,2018,,,
984020,2019,$1.99,,
984030,2018,$4.99,,
984070,2019,$13.99,,
984080,2018,$9.99,,
984110,2019,,90%,
984150,2018,$4.99,,
984170,2018,$12.99,,
984220,2020,,,
984220,2020,,,
984230,2018,$1.99,,
984240,2018,,42%,
984250,2019,$11.99,,
984300,2019,$4.99,,
984450,2019,$4.99,,
984450,2019,$4.99,,
984470,2019,$4.99,91%,
984510,2018,,,
984510,2018,,,
984520,2019,$3.99,,
984540,2018,$1.99,,
984560,2018,$14.99,85%,
984570,2018,,,
984580,2018,$0.99,,
984590,2018,$0.99,,
984600,2022,$23.99,,
984610,2020,$2.99,86%,
984660,2018,$0.49,70%,
984680,2019,$29.99,83%,
984690,2019,,,
984720,2018,$0.99,90%,
984730,2019,$14.99,,
984780,2019,$4.99,88%,
984790,2022,$8.99,,
984800,2019,$2.99,71%,71%
984810,2019,$2.99,,
984820,2018,$4.49,,
984870,2019,$0.59,,
984880,2019,$2.99,,
984910,2020,$9.99,,
984930,2019,$5.99,,
984990,2019,$9.99,,
985000,2020,$7.99,66%,
985020,2018,,,
985070,2018,$4.99,,
985080,2019,$19.99,95%,
985090,2018,$0.99,,
985240,2021,$9.99,,
985280,2018,$4.49,,
985340,2019,$9.99,,
985400,2019,$12.99,70%,
985420,2018,$4.99,,
985430,2019,$10.99,80%,
985500,2019,$4.99,,
985510,2021,$4.99,,
985530,2019,$0.49,75%,
985540,2018,$0.99,,
985560,2018,,,
985580,2018,$0.99,,
985620,2019,$4.99,,
985650,,$14.99,83%,
985680,2018,,,
985690,2019,$9.99,,
985710,2019,$2.49,42%,
985720,2019,$9.99,49%,
985740,2019,$2.99,,
985760,2019,$4.99,69%,
985770,2018,$6.99,,
985780,2021,$7.49,75%,
985800,2019,$6.99,,
985830,2021,$19.24,83%,
985840,2018,$2.99,,
985870,2019,$1.99,,
985890,2020,$12.49,92%,84%
985900,2022,$18.74,83%,
985920,2019,,,
985930,2019,$4.99,,
985940,2020,$12.99,74%,
985950,2020,$11.99,79%,76%
986010,2018,$2.99,,
986020,2019,$14.99,81%,
986040,2021,,,
986080,2019,$1.99,,
986280,2019,$3.74,98%,
986310,2021,$9.99,68%,68%
986320,2018,$0.99,,
986340,2019,$5.99,,
986350,2021,$19.99,63%,
986370,2020,$0.49,,
986400,2018,$5.99,,
986480,2019,$0.49,,
986670,2020,$4.99,,
986680,2019,$19.99,83%,
986710,2015,$4.99,,
986790,2020,$3.49,,
986800,2019,$6.99,97%,79%
986820,2018,$6.99,94%,
986830,2018,$6.99,93%,
986920,2021,$11.99,,
986990,2018,$0.99,81%,
986990,2018,$0.99,81%,
987000,2018,$7.99,,
987010,2019,,,
987020,2020,$19.99,67%,
987040,2019,,,
987060,2018,$2.99,,
987150,2020,$17.49,63%,
987180,2019,$9.99,,
987210,2019,,,
987230,2019,$24.99,77%,
987240,2018,,73%,
987250,2020,$5.59,,
987290,2019,$5.99,,
987330,2019,$3.99,47%,
987350,2019,,44%,
987370,2019,$4.99,,
987400,2019,$5.99,89%,
987410,2019,$5.99,63%,
987450,2019,,57%,
987480,2022,$15.29,99%,
987490,2018,$0.99,,
987570,2018,$0.49,,
987580,2018,$0.99,,
987590,2018,$0.49,,
987620,2019,,,
987630,2019,,,
987660,2019,$9.99,,
987720,2019,$49.99,67%,
987740,2019,$0.99,,
987770,2018,$9.99,76%,
987780,2019,$0.99,,
987780,2019,$0.99,,
987790,2019,,,
987800,2018,,,
987820,2018,,76%,
987840,2022,$33.74,88%,80%
987850,2018,$9.99,62%,
987880,2019,,,
987900,2018,,89%,
987910,2018,,52%,
987950,2019,$0.49,69%,
987980,2018,,,
987990,2018,$4.99,,
988070,2019,$3.99,,
988080,2019,$4.99,,
988100,2019,$4.99,84%,
988110,2019,$5.99,,
988240,2019,$1.39,67%,
988250,2019,$9.99,,
988310,,$9.89,96%,71%
988330,2018,$4.99,,
988340,,$9.99,,
988430,2019,,72%,
988480,2019,,64%,
988490,2021,$19.99,91%,
988500,2019,,,
988590,2018,$1.99,,
988890,2018,$0.99,,
988910,2020,$17.99,91%,80%
988920,2019,$1.99,,
988930,2021,$0.49,84%,
988980,2018,$1.99,93%,
989000,2019,,,
989010,2018,$39.99,,
989040,2018,,,
989050,2019,,,
989110,2019,$3.99,,
989140,2018,$4.99,,
989160,2018,$3.99,,
989190,2018,,,
989250,2019,$0.54,,
989260,2019,$2.84,,
989340,2019,$0.49,,
989370,2019,$1.49,,
989380,2021,$9.74,,
989400,,$1.99,,
989440,2021,$18.74,86%,
989450,2019,$10.99,64%,
989460,2020,,57%,
989490,2018,,57%,
989540,2019,,64%,
989550,2019,$9.99,77%,
989640,2018,$4.99,,
989650,2018,$0.99,,
989690,2019,$7.99,69%,62%
989710,2019,$4.79,,
989750,2019,$3.99,,
989770,2019,$8.74,72%,
989780,2018,$14.99,,
989790,2021,$11.99,97%,
989870,2018,$1.99,,
990050,2019,$5.99,79%,
990060,2019,,45%,
990090,2019,,94%,
990110,2021,$9.99,,
990160,2018,$7.99,,
990230,2018,$19.99,,
990250,2018,,72%,
990260,2021,$4.54,73%,
990360,2020,$19.99,58%,
990390,2019,$1.79,,
990410,2020,$11.99,,
990500,2019,$4.99,,
990630,2021,$14.99,97%,80%
990640,2018,$1.49,79%,
990720,2019,,,
990750,2018,$19.99,,
990850,2019,$4.99,,
990900,2019,$11.99,,
990920,2022,$14.99,80%,
990940,2019,$0.99,,
990950,2018,$0.99,,
991070,2019,$0.99,75%,
991080,2019,$3.99,,
991130,2019,$2.99,,
991170,2020,$11.99,83%,
991230,2018,$0.49,,
991270,2020,$29.99,92%,
991280,2018,$0.5,,
991430,2019,$11.99,,
991480,2018,$6.99,,
991490,2018,$0.99,,
991500,2018,$1.99,,
991510,2019,$0.99,,
991530,2019,$1.99,,
991560,2020,$59.99,51%,
991620,2019,$5.99,,
991620,2019,$5.99,,
991660,2018,$1.59,,
991680,2019,$2.99,,
991740,2021,$13.99,42%,
991750,2018,$1.99,,
991760,2019,$17.99,,
991780,,$29.99,77%,
991790,2019,,74%,
991800,2018,$0.99,,
991810,2019,$29.99,77%,
991860,2018,$0.55,,
991930,2019,,,
991960,2018,$4.01,,
992000,2018,$4.99,,
992040,,$2.99,,
992050,2019,$0.99,91%,
992070,2019,,86%,
992080,2018,,,
992120,2018,$2.99,,
992200,2019,$9.99,,
992250,2020,$6.99,,
992260,2019,$9.99,75%,
992300,,$24.99,87%,
992310,2019,,97%,
992330,2019,$1.74,79%,
992360,2018,$3.99,,
992420,2005,$2.99,,
992480,2018,$0.99,,
992490,2017,,73%,
992520,2019,,,
992560,2019,$1.99,,
992610,2019,$19.99,,
992620,,$6.99,,
992640,2019,$9.99,50%,64%
992680,2019,,,
992700,,$0.99,91%,
992720,2018,$1.99,,
992730,,$15.99,85%,
992740,2019,$10.99,100%,
992750,2019,$4.99,,
992790,2019,,,
992860,2018,,47%,
992870,2019,$4.99,,
992880,2019,$8,,
992890,2018,$0.49,,
992960,2019,$4.99,,
992970,2018,$0.74,,
992990,2020,$10.99,,
993090,2018,$2.99,86%,
993110,2021,$10.39,93%,
993110,2021,$10.39,93%,
993170,2018,,92%,
993200,2018,,,
993220,2019,$2.99,,
993250,,$0.99,,
993270,2019,$9.99,,
993290,2018,$2.99,,
993330,2019,$0.79,,
993340,,$29.99,64%,
993370,2019,$0.99,,
993400,2018,$5.99,,
993490,2019,$2.99,,
993500,2019,$9.99,,
993520,2020,$7.99,,
993580,2018,$1.99,,
993630,2018,$1.03,,
993640,2019,$1.99,,
993650,2019,$0.99,,
993680,2018,$0.99,63%,
993690,,$9.99,54%,
993740,2018,$0.99,,
993750,2018,$0.99,,
993790,2020,$3.74,92%,
993810,2019,,,
993850,2019,$2.99,,
993860,2018,$0.99,,
993870,2021,,41%,
993890,2018,$4.99,,
993980,2020,$15.99,77%,
993990,,$2.99,60%,
994020,2018,$13.99,91%,
994030,2018,$1.99,,
994040,2019,$9.99,,
994140,2020,$19.99,91%,73%
994160,2019,$4.99,,
994170,2019,$2.99,,
994180,2020,$5.19,,
994190,2019,,75%,
994200,2019,,52%,
994220,2020,$19.99,84%,
994230,2018,$0.99,,
994250,2019,$1.99,,
994260,2019,,85%,
994280,2018,$8.99,86%,
994290,2019,$0.99,,
994310,2019,$29.99,,
994320,2019,$3.99,33%,
994340,,$6.99,93%,
994350,2019,$9.99,,
994360,2019,$6.99,,
994450,2019,$0.99,,
994500,2019,$2.99,96%,
994520,2018,,76%,
994520,2018,,76%,
994590,2019,,,
994610,2019,,,
994650,2018,$0.99,,
994670,2019,$7.49,,
994700,2021,$2.49,,
994730,2019,$6.79,89%,
994750,2018,$0.99,,
994870,2018,$4.99,,
994900,2019,$6.99,,
994910,2020,,92%,
994930,2018,,76%,
995000,2018,$9.99,,
995050,2019,$19.99,83%,
995060,2019,$1.99,,
995070,2021,$1.99,44%,
995140,2019,$4.99,,
995170,2021,$6.99,,
995230,2019,$8.99,85%,
995240,2019,$9.99,,
995270,2021,$19.99,,
995280,2018,$0.99,,
995310,2020,$11.99,,
995340,2019,$14.99,,
995450,2019,$1.23,79%,
995460,2018,$9.99,97%,
995470,2020,$3.99,82%,
995470,2020,$3.99,82%,
995480,2019,$0.49,,
995660,,$2.59,,
995700,2019,$4.99,,
995700,2019,$4.99,,
995720,2019,,,
995720,2019,,,
995840,2019,,36%,
995850,2019,$6.99,,
995880,2020,,48%,
995890,2019,$4.99,,
995900,2019,$4.99,,
995910,2019,$9.99,,
995920,2019,$9.99,,
995930,2019,$9.99,,
995980,2020,$9.99,85%,
996000,2019,$19.99,,
996050,2018,$4.99,,
996080,2019,$15.99,79%,
996140,2018,$14.99,,
996150,2019,$5.99,,
996170,2019,,,
996230,2019,$0.99,,
996280,2018,$2.99,,
996370,2021,$9.99,,
996380,2019,$6.99,54%,
996430,2019,$3.99,,
996470,2019,,70%,
996550,2019,$0.99,,
996580,2019,$39.99,94%,
996620,2019,$1.99,,
996650,2018,$4.99,,
996710,,$2.99,,
996730,2019,$3.99,,
996770,2020,$6.24,77%,79%
996830,2019,,,
996860,2019,$4.99,,
996920,2019,$9.99,,
997000,2019,$3.99,,
997010,2021,$24.99,86%,
997020,2020,$0.74,,
997030,2019,$14.99,64%,
997050,2019,$0.99,,
997060,2019,$7.49,65%,
997070,2020,$15.99,66%,
997170,2019,$0.59,,
997180,2019,,80%,
997260,2019,,,
997270,2018,$7.99,,
997280,2019,$0.99,,
997310,2019,$0.99,,
997340,2018,$0.49,,
997370,2019,$9.99,,
997380,2019,$7.99,89%,
997430,2019,$0.67,,
997480,2018,$4.99,,
997530,2018,$5.99,,
997560,2019,,58%,
997670,2019,$0.99,,
997700,2019,$1.59,95%,
997710,,$9.99,,
997720,2019,$1.99,90%,
997730,2019,$0.49,83%,
997730,2019,$0.49,83%,
997870,2018,$3.99,,
998020,2019,$7.99,,
998220,2019,$12.99,89%,
998300,2019,$10.99,,
998340,2020,,53%,
998470,2018,$0.99,70%,
998470,2018,$0.99,70%,
998480,2019,$0.5,,
998530,2019,$17.99,,
998570,2019,$4.99,,
998660,2018,,86%,
998690,2019,$1.99,,
998730,2019,$1.99,,
998740,2020,$19.99,91%,
998820,2018,,,
998830,2019,$1.16,,
998850,2018,$4.99,,
998890,2018,$0.99,,
998930,2019,$0.99,80%,
998950,,$4.99,,
998990,2019,$29.99,,
999020,2020,$14.99,79%,
999030,2019,$0.99,,
999040,2019,$1.99,,
999190,2019,$5.99,,
999220,2020,$8.99,76%,80%
999250,2019,$0.99,,
999270,2019,,60%,
999310,2019,$0.99,,
999350,2019,$2.99,86%,
999360,2019,$0.99,,
999410,2019,$4.99,,
999430,2019,$0.89,,
999540,2019,,,
999560,2019,,,
999640,2019,$0.49,62%,
999660,2020,$9.99,84%,
999730,2019,,83%,
999750,2018,,,
999760,2018,,,
999840,2018,$4.99,,
999860,2020,,73%,
999880,2018,,,
999890,2019,$2.99,,
999900,2020,,,
999930,2019,$4.99,,
1000000,2021,$4.99,,
1000010,2020,$19.99,86%,83%
1000030,2020,$7.99,93%,79%
1000040,2019,$1.99,,
1000080,,$7.99,69%,
1000100,2019,$1.94,,
1000110,2019,,60%,
1000130,2019,$2.99,,
1000280,2020,$8.39,,
1000310,2019,$0.99,,
1000360,2021,$12.74,93%,
1000370,2019,,,
1000380,2019,,77%,
1000410,2019,$24.99,80%,
1000460,,,,
1000470,2019,$4.99,80%,
1000480,2019,$9.99,,
1000500,2021,$2.39,,
1000510,2019,,83%,
1000540,2019,,81%,
1000600,2018,,,
1000640,2019,$2.49,93%,
1000650,2019,$2.99,,
1000700,2022,$14.99,92%,
1000750,2022,$19.99,,
1000760,2021,$19.99,82%,71%
1000770,2021,$11.99,73%,
1000790,2019,$0.49,,
1000810,2019,$14.99,,
1000830,2019,$0.69,97%,
1000860,2019,$4.99,67%,
1000870,2020,$7.99,,
1000880,2020,$3.99,,
1000900,2019,$1.98,,
1000980,2019,$6.99,,
1000990,2019,$6.99,,
1001010,2019,$1.99,,
1001040,2019,$9.99,64%,
1001070,2019,$0.99,85%,
1001070,2019,$0.99,85%,
1001100,2020,$15.99,,
1001140,2019,$10.04,90%,79%
1001170,2019,,,
1001380,2019,,,
1001390,2019,$10.99,,
1001430,2019,$6.99,,
1001450,2019,$1.99,,
1001490,2018,$6.99,,
1001500,2019,$3.95,,
1001550,2019,,,
1001570,2018,$4.99,,
1001590,2019,$4.99,,
1001600,2019,$4.99,,
1001640,2019,$1.49,40%,
1001640,2019,$1.49,40%,
1001690,2021,$4.99,,
1001730,2019,$2.99,,
1001740,2019,$4.99,,
1001760,2019,,,
1001800,2020,$16.99,82%,78%
1001810,2019,,,
1001860,2020,,86%,
1001870,,$9.99,,
1001880,2018,$0.99,81%,
1001910,,$1.99,,
1001950,2021,,,
1001990,2019,$3.99,,
1002000,2020,$14.99,,73%
1002020,2019,,72%,
1002030,2019,$0.54,,
1002180,2019,$0.49,,
1002200,2019,$8.99,,
1002230,2018,,,
1002270,,$0.49,89%,
1002280,2019,$4.99,,
1002290,2019,,96%,
1002310,2019,$0.99,,
1002360,2019,$0.99,83%,
1002420,2019,$7.99,,
1002430,2020,$19.99,93%,
1002440,2019,$7.99,,
1002480,2021,,,
1002500,2019,$5.99,,
1002510,2019,$4.99,,
1002520,2019,$2.99,,
1002560,2019,$3.99,95%,
1002580,2019,$3.99,,
1002600,2019,,,
1002630,2019,$2.99,74%,
1002650,2019,$4.99,,
1002670,2019,$4.99,,
1002690,2018,,,
1002750,2019,$11.99,,
1002830,2019,$0.51,,
1002850,2019,,63%,
1002860,2019,$7.99,,
1002890,2019,,,
1002910,2019,$9.99,,
1002920,2019,,,
1002930,2019,,59%,
1002950,2019,$4.99,,
1002960,2019,$0.99,,
1002970,2019,$2.99,,
1002980,2019,$0.99,,
1003000,2020,,,
1003010,2019,,38%,
1003070,2019,$0.49,,
1003090,2020,$14.99,84%,71%
1003120,2021,$9.89,74%,
1003150,2022,$9.99,,
1003190,2020,$5.99,,
1003230,2019,$9.99,,
1003320,2019,$0.51,,
1003360,2019,$9.99,74%,
1003370,2020,$24.99,,
1003400,2019,,89%,
1003450,,$14.99,,
1003480,2019,$0.99,90%,
1003490,2019,$4.99,,
1003520,2019,$1.99,87%,
1003530,,$0.99,,
1003560,2020,$1.49,,
1003600,2019,$0.99,,
1003650,2019,$0.99,,
1003670,2019,$6.99,,
1003690,2019,$9.99,,
1003730,2019,$9.99,,
1003750,2019,$1.39,91%,
1003760,2021,$10.99,,
1003830,2019,$4.99,,
1003840,2019,$0.99,,
1003850,2019,$0.99,,
1003860,2022,$9.89,,
1003880,2019,$12.99,,
1003890,2019,$7.99,84%,
1003940,2018,,,
1003940,2018,,,
1003960,2019,$4.99,,
1004000,2019,$1.99,,
1004030,2019,$2.99,,
1004050,2019,$0.99,,
1004100,2019,$5.99,,
1004150,2019,$16.99,94%,
1004170,2021,$6.99,,
1004180,2019,$7.99,,
1004190,2019,,84%,
1004210,2019,$1.99,93%,
1004230,2019,$3.49,,
1004240,2019,$0.99,96%,
1004270,2019,$5.99,69%,
1004310,2019,$2.99,,
1004320,2019,,,
1004330,2020,$2.99,93%,
1004350,2019,$4.99,,
1004490,2019,$19.99,75%,
1004500,2019,$4.99,,
1004550,2019,$0.99,,
1004560,,$2.99,69%,
1004570,2019,$0.99,,
1004600,2019,$0.99,,
1004610,2019,$4.99,90%,
1004620,2022,$9.99,,
1004650,2019,$3.99,,
1004710,2019,,,
1004740,2019,$7.99,86%,
1004750,2020,$5.99,72%,77%
1004770,2020,$12.99,98%,
1004780,2019,$2.99,,
1004790,2019,$5.99,,
1004860,2019,$14.99,87%,
1005000,2019,$5.99,,
1005050,2019,$12.99,,
1005060,2019,$4.93,,
1005080,2019,$11.99,,
1005120,2021,$13.99,80%,
1005120,2021,$13.99,80%,
1005130,2019,$4.93,81%,
1005240,2021,,85%,
1005250,2019,$2.99,,
1005300,2019,$17.99,95%,80%
1005310,2018,$3.99,,
1005330,2019,,,
1005330,2019,,,
1005340,2019,,61%,
1005390,2019,$0.99,,
1005400,2021,$7.49,94%,82%
1005410,2019,$7.99,93%,
1005420,2019,$18.99,,
1005450,2019,$3.49,98%,
1005460,2020,$11.19,82%,
1005480,2020,$1.5,,
1005530,2019,$24.99,,
1005580,2020,,51%,
1005630,2019,$1.99,,
1005730,2019,$2.99,,
1005780,2019,$2.39,,
1005820,2019,$4.99,,
1005870,2019,,89%,
1005890,2019,$14.99,,
1005900,2019,$0.99,,
1005910,2019,,90%,
1005930,2019,$6.49,94%,
1005950,2019,,31%,
1005990,2020,$7.99,64%,
1006090,2019,,,
1006120,2019,$4.99,,
1006160,2019,$9.99,,
1006170,2019,$0.66,,
1006190,2019,$0.99,,
1006220,2019,$2.99,92%,
1006270,2019,$0.99,85%,
1006390,2019,,,
1006400,2019,$6.99,89%,
1006410,2019,$4.99,,
1006430,2019,$2.99,,
1006440,2019,$4.54,,
1006450,1993,$4.19,,
1006460,2019,$4.54,,
1006470,2019,$0.49,,
1006600,2019,$0.99,,
1006680,2019,$6.99,,
1006710,,$2.99,80%,
1006720,2019,$0.99,,
1006730,2019,,,
1006760,2019,$0.99,,
1006770,2019,$24.99,,
1006800,2019,$9.99,,
1006830,2019,$8.99,,
1006850,2019,$1.94,,
1006880,2019,$0.51,,
1006900,2019,$6.99,,
