,appid,name,developer,publisher,positive,negative,average_playtime_from_2009,initialprice,languages,genre,release_year,Korean,indie,discount,positive_ratio,price_group
2568,286540,Nearwood - Collector's Edition,MagicIndie,Viva Media,244,27,4.0,11798,"English, French, Italian, German, Spanish - Spain, Dutch, Portuguese, Russian, Simplified Chinese",Adventure,2014,0,0,0,0.9003690036900369,만원~2만원
2569,286570,F1 2015,"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",5204,3115,24.0,5893,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Japanese, Polish, Russian",Racing,2015,0,0,0,0.6255559562447409,만원이하
2570,286660,Avoid - Sensory Overload,48h Studio,Strategy First,170,31,1.0,5893,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Turkish",Action,2014,1,1,0,0.845771144278607,만원이하
2571,286690,Metro 2033 Redux,4A Games,Deep Silver,53038,7416,10.0,23608,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Polish, Russian, Ukrainian",Action,2014,0,0,0,0.8773282164951864,2만원~ 3만원
2572,286730,Gunship!,Microprose,Retroism,34,39,0.0,8255,English,Action,2014,0,0,0,0.4657534246575342,만원이하
2574,286750,Zoo Empire,Enlight Software Limited,"Retroism, Enlight Software Limited",95,31,1.0,8255,English,Casual,2004,0,0,0,0.753968253968254,만원이하
2575,286770,Shadow Ops: Red Mercury,Zombie Studios,Retroism,180,49,0.0,8255,English,Action,2014,0,0,0,0.7860262008733624,만원이하
2576,286790,Falcon A.T.,Spectrum Holobyte,Retroism,5,6,0.0,8255,English,Simulation,2016,0,0,0,0.45454545454545453,만원이하
2577,286810,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,Targem Games,Buka Entertainment,490,165,6.0,7074,"English, Russian",Action,2014,0,0,0,0.7480916030534351,만원이하
2578,286830,Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,Targem Games,Buka Entertainment,57,138,5.0,5893,"English, Polish, Russian",Action,2014,0,0,0,0.2923076923076923,만원이하
2579,286930,Crouching Pony Hidden Dragon,Le Cortex,Neko Entertainment,27,53,0.0,2350,English,Action,2014,0,1,0,0.3375,만원이하
2580,287020,Harvester,DigiFX Interactive,Nightdive Studios,849,82,4.0,7074,"English, French, Spanish - Spain",Adventure,2014,0,0,0,0.9119226638023631,만원이하
2581,287070,Battle Academy,Slitherine Ltd.,Slitherine Ltd.,212,39,0.0,17703,"English, French, Italian, German, Spanish - Spain, Russian",Strategy,2014,0,0,0,0.8446215139442231,만원~2만원
2582,287100,Chaos Domain,"Holy Warp, Black Wing Foundation",Holy Warp,261,579,1.0,5893,English,Action,2014,0,1,0,0.3107142857142857,만원이하
2583,287120,Ionball 2: Ionstorm,Ironsun Studios,KISS ltd,462,185,3.0,5893,English,Action,2014,0,0,0,0.714064914992272,만원이하
2584,287200,Wildlife Park 3,b-alive gmbh,b-alive gmbh,280,203,4.0,11798,"English, German, French, Italian, Czech, Polish, Traditional Chinese",Casual,2014,0,1,0,0.5797101449275363,만원~2만원
2586,287260,Toybox Turbos,Codemasters,"Codemasters, Electronic Arts",1352,235,3.0,17703,"English, French, Italian, German, Spanish - Spain, Japanese",Racing,2014,0,0,0,0.8519218651543793,만원~2만원
2587,287290,Resident Evil Revelations 2,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",15575,4326,8.0,7074,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese",Action,2015,1,0,0,0.7826239887442842,만원이하
2588,287370,COH 2 - The Western Front Armies: US Forces,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",270,78,0.0,15341,"English, Czech, French, German, Italian, Polish, Russian, Spanish - Spain",Strategy,2014,0,0,0,0.7758620689655172,만원~2만원
2589,287371,CoH 2 - The Western Front Armies: Oberkommando West,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",288,63,0.0,15341,"English, Czech, French, German, Italian, Polish, Russian, Spanish - Spain",Strategy,2014,0,0,0,0.8205128205128205,만원~2만원
2590,287390,Metro: Last Light Redux,4A Games,Deep Silver,44073,5724,23.0,23608,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Polish, Russian, Ukrainian",Action,2014,0,0,0,0.8850533164648473,2만원~ 3만원
2591,287450,Rise of Nations: Extended Edition,"SkyBox Labs, Big Huge Games",Xbox Game Studios,9867,630,11.0,23608,"English, French, Italian, German, Spanish - Spain",Simulation,2014,0,0,0,0.9399828522434981,2만원~ 3만원
2592,287580,Pandora: First Contact,Proxy Studios,Slitherine Ltd.,366,215,10.0,35418,"English, German, Italian, Dutch, French",Simulation,2014,0,0,0,0.6299483648881239,3만원~4만원
